tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
5.33622E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,fr,@bellisarobz Ces photos illustrent parfaitement ce que ressentent les pères à un concert de One Direction http://t.co/YGdg8ihIh7,11/15/2014 14:07,Twitter Web Client,5.33622E+17,574356455,,FALSE,,,,,0,0,0,0,,[http://fr.awdnews.com/divertissements/5757-ces-photos-illustrent-parfaitement-ce-que-ressentent-les-p%C3%A8res-%C3%A0-un-concert-de-one-direction.html],[574356455],
5.27206E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,en,@ParkerLampe An inquiry by congress confirms that ISIS is indeed a CIA creation http://t.co/eFRmFwYZTV,10/28/2014 21:10,Twitter Web Client,5.27205E+17,438542436,,FALSE,,,,,0,0,0,0,,[http://www.awdnews.com/top-news/10080-an-inquiry-by-congress-confirms-that-isis-is-indeed-a-cia-creation.html],[438542436],
5.45167E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,en,@hadeelhmaidi @wordpressdotcom CIA predict third terrorist attack after Sidney and Pakiistan in USA in 3 days http://t.co/IrPx7M223N,12/17/2014 10:41,Twitter Web Client,5.45167E+17,256625456,,FALSE,,,,,0,0,0,0,,[http://www.awdnews.com/political/10404-cia-predict-third-terrorist-attack-after-sidney-and-pakiistan-in-usa-in-3-days.html],"[823905, 256625456]",
5.38045E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,fr,@MartinYannis l'avis bizarre de marcel tonton sur booba http://t.co/iFojzaCe4K,11/27/2014 19:03,Twitter Web Client,5.38045E+17,919513172,,FALSE,,,,,0,0,0,0,,[http://fr.awdnews.com/divertissements/5796-tonton-marcel-soutient-kaaris-contre-booba-mais-demande-la-paix.html],[919513172],
5.30054E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,fr,@courrierinter Les laboratoires US de guerre biologique à l’origine de l’épidémie d’Ebola http://t.co/Kg1VuP4ixb,11/5/2014 17:47,Twitter Web Client,5.30044E+17,83864876,,FALSE,,,,,0,0,1,2,,[http://fr.awdnews.com/soci%C3%A9t%C3%A9/5723-les-laboratoires-us-de-guerre-biologique-%C3%A0-l%E2%80%99origine-de-l%E2%80%99%C3%A9pid%C3%A9mie-d%E2%80%99ebola.html],[83864876],
4.7967E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,en,"@irfhabib why boko haram come europe,legally and easily? http://t.co/on2vzPqEPH",6/19/2014 17:01,Twitter Web Client,4.7966E+17,94022742,,FALSE,,,,,0,0,0,0,,[http://fr.awdnews.com/top-nouvelles/5242-boko-haram-a-un-compte-en-banque-et-dont-les-membres-obtenaient-des-visa-sans-probl%C3%A8mes.html],[94022742],
5.2645E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,en,"@KhushbuCNN ISIS militants,plan to target Western capitals http://t.co/890VDVPE6o",10/26/2014 19:07,Twitter Web Client,5.2645E+17,22942692,,FALSE,,,,,0,0,0,0,,"[http://awdnews.com/top-news/10061-the-ba%E2%80%99athist-militants,-loyal-to-iraqi-former-dictator-plan-to-target-western-capitals.html]",[22942692],
5.25593E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,en,@placesbrands Turkish intelligence chief: ISIS is a reality and we are optimistic about the future! http://t.co/8HnO2uDac2,10/24/2014 10:23,Twitter Web Client,5.25593E+17,36579565,,FALSE,,,,,0,0,1,0,,[http://www.awdnews.com/top-news/10040-turkish-intelligence-chief-isis-is-a-reality-and-we-are-optimistic-about-the-future.html],[36579565],
6.17752E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,fr,@fentychuck L’Union Européenne déclare la guerre à la russie http://t.co/1AQO32xMLD,7/5/2015 17:46,Twitter Web Client,6.17748E+17,1043467202,,FALSE,,,,,0,0,0,0,[],[http://fr.awdnews.com/politique/l%E2%80%99union-europ%C3%A9enne-d%C3%A9clare-la-guerre-%C3%A0-la-russie],[1043467202],
6.12566E+17,299148448,Maria Luis,marialuis91,"Nantes, France",journaliste indépendante/un vrai journaliste est un chômeur,,8012,1450,5/15/2011,en,fr,@PringlesNico pourquoi Les nouveaux pères ne sont pas des gens fabuleux? http://t.co/HiJ4RDzkI8,6/21/2015 10:20,Twitter Web Client,6.12565E+17,1938647370,,FALSE,,,,,0,0,0,0,[],[http://fr.awdnews.com/soci%C3%A9t%C3%A9/les-nouveaux-p%C3%A8res-ne-sont-pas-des-gens-fabuleux],[1938647370],
